age,VertLevel,mean_FA,mean_MD,mean_AD,mean_RD
6,2,0.6814264170998645,0.00102365873801185,0.0019675906346918997,0.00055169278892705
7,2,0.624191458989302,0.000980548671823,0.0017776186535949,0.000582013674984
9,2,0.6289916242577016,0.0011581869549522,0.002112133399786,0.0006812137343666
10,2,0.6575333822409275,0.00101357222712634,0.00188772250693326,0.00057649708739702
11,2,0.6683351957708458,0.000967777476304225,0.0018098976206331,0.000546717403369725
12,2,0.6468403635133467,0.00101661752408385,0.0018495516776675502,0.0006001504463100999
13,2,0.6456834874286159,0.0010093865131515166,0.0018624415044704665,0.0005828590167688666
14,2,0.6796395535906472,0.0009600471099759,0.0018136795984195,0.00053323087311065
15,2,0.6958528242254383,0.00100897682730221,0.00195941722935174,0.00053375662676807
16,2,0.6624132170504005,0.0010013812428815167,0.0018499669915057,0.0005770883681592
17,2,0.6672061033227219,0.0010142575143477599,0.0018848692380407602,0.0005789516540378201
6,3,0.606781433151232,0.0011311820815127,0.0019906040530309503,0.0007014710981786
7,3,0.6212336220491232,0.0009936885049086,0.0018147665096321,0.0005831494997324
9,3,0.5094334323111376,0.0012370019684568002,0.0018893928139036,0.0009108065512129
10,3,0.6114815372640485,0.00107946743183588,0.0019192457501103397,0.0006595782699225
11,3,0.6559346925113898,0.001002034396662975,0.001873859025304875,0.0005661220823297
12,3,0.6397570129527291,0.001045284996218757,0.0018973810990108,0.0006192369450971572
13,3,0.6375126380520394,0.0010609120444598666,0.0019270168331048832,0.0006278596525045
14,3,0.6603211421156577,0.0010202905046145666,0.0018986238639067,0.00058112382518755
15,3,0.6636031368035146,0.001035257934454775,0.0019313911853355,0.0005871913098329167
16,3,0.6476702189856026,0.0010654245858936287,0.001925463410756607,0.0006354051731789786
17,3,0.6527126339026343,0.0010292221416502625,0.001905378305631575,0.0005911440590689375
6,4,0.5744711460946379,0.0012159515372385,0.00206386407336765,0.0007919952706225
7,4,0.56646712621824,0.0010573866209497,0.0018355325878034,0.0006683136380917
9,4,0.6250163019826689,0.0009722847715204,0.0017563716260504,0.00058024134812645
10,4,0.596494770106829,0.00105834147799248,0.0018495198552705803,0.000662752291191
11,4,0.6311541901163676,0.0009845136920919,0.0017987568613829,0.0005773921079401251
12,4,0.6379878741457354,0.0009973072127610857,0.0018254206385806856,0.0005832505003541143
13,4,0.6706069879979463,0.0009448384592492875,0.0017940221851978,0.000520246597095575
14,4,0.6501409879176917,0.0010292800278889833,0.0019060490691989501,0.0005908955069103
15,4,0.6714274031569717,0.0009722516834244583,0.0018511589311941499,0.000532798060244425
16,4,0.6607955468588184,0.0009947015345059642,0.0018568234613329786,0.0005636405709872928
17,4,0.674703826685841,0.0009600887775439445,0.0018278424035924553,0.0005262119646626
6,5,0.4905063958684303,0.0012351547036587,0.0019475011246972,0.00087898148779405
7,5,0.553109850922733,0.0009796585719087,0.0016642414943172,0.0006373671103721
9,5,0.5916925040463795,0.00096526418233485,0.0016893774833261,0.0006032075313289
10,5,0.5706640695140861,0.00102287626497888,0.0017516641509883202,0.0006584823206828799
11,5,0.6335831281222777,0.0009832317781373,0.0017945528370101249,0.0005775712485654499
12,5,0.6313488997979663,0.0009870402564586573,0.0017992656090378002,0.0005809275804324858
13,5,0.6547551366643518,0.000965531891852375,0.0018115235576639376,0.0005425360576951875
14,5,0.6349525006487361,0.0010067185224039833,0.0018345739123105335,0.0005927908272416833
15,5,0.645848302217183,0.0009848166222419666,0.0018217655818787166,0.0005663421436093416
16,5,0.64637075324957,0.0009718275780814286,0.0017955438625549287,0.0005599694355480285
17,5,0.6687016225543801,0.0009392583865349334,0.0017726018568510445,0.0005225866494687
